,Topic,Count,Name,Representation,Representative_Docs
1434,1433,12,1433_ulrichskirchen_diesseitig_jeudler_scherrischen,"['ulrichskirchen', 'diesseitig', 'jeudler', 'scherrischen', 'bestandweis', 'gartengrund', 'dietrichsteinischen', 'herrschaftliche', '1240', 'übergoldeten']","['Von dem Edlen  Zornischen Grundbuch über den Freygrund Jägerzell und Anvogthung wird hiemit bekannt gemacht: es sey auf Anlangen des   Pausinger, als Philipp Scherrischen Curatoradactum, in die öffentliche Feil bietung des in die Philipp Scherrische Verlas senschaftsmasse gehörigen, auf dem Erdbergmals liegenden Loos  18 zum dasigen Grundbuch dienstbaren Ulberländgartengrund gewilliget wor  Da nun die auf den  April   an beraumt geweste Versteigerungstagsatzung frucht los abgelofen, als wird hiemit neuerdings zur Versteigerung des obgedachten Gartengrund der  Juni   mit dem Beysatze, dass, wenn gedachter Gartengrund nicht um den Schätzungs werth an Mann gebracht wird, derselbe auch un ter der Schätzung, jedoch salvaratificatione der Philipp Scherrischen Pupilleninstanz, hindan gegeben werden würde, festgesetzt.', 'Dietrichsteinischen Herrschaft Ulrichskirchen Amts canzley wegen, wird hiemit jedermänniglich kund und zu wissen gemacht, was gestalten das diesseitig im Markt Ulrichskirchen be findliche herrschaftliche Bräuhaus vom  Novembris dies laufenden Jahrs an bestandweis zu ver lassen seye.', 'Dietrichsteinischen Herrschaft Ulrichskirchen Amts canzley wegen, wird hiemit jedermänniglich kund und zu wissen gemacht, was gestalten das diesseitig im Markt Ulrichskirchen befindliche herrschaftliche Bräuhaus vom  Novembris dies laufenden Jahrs an bestandweis zu ver lassen seye.']"
1435,1434,12,1434_kriegsgebrauch_hinabzutürzen_schuwalow_recrut,"['kriegsgebrauch', 'hinabzutürzen', 'schuwalow', 'recrut', 'paruquen', 'evolutiones', 'ansbleidungsfalle', 'terterminmin', 'gesetzen', 'defilirte']","['Dass in dem gantzen Land das Werben eiffrig getrieben werde weilen die Officier ihre Recrut en bald zur Hand haben sollen damit man die völlige Regimenter auff bestimbten  TerTerminmin stellen mithin die Armé en frühzeitig im Feld erscheinen können.', 'der Herr General feld zeugmeister, Graf Peter Schuwalow, die General re vüe des Artillerie corps gehalten, bey wel cher Gelegenheit nicht nur mit kleinem Ge wehr manöuvriret, sondern auch mit dem groben Geschütze alle Evolutiones gemacht, nach der Scheibe geschossen, Bomben ge worfen, und verschiedene in der Form ei ner Stadt in einer weiten Entfernung auf geführte Gebäude in Brand geschossen wor  Nach Verlauf etlicher Stunden, so lang nämlich alle diese Artillerie exercitien gedauert hatten, spielte zum Beschluss eine grosse Mine.', 'Regiment binnen 6 Wochen und 3 Tägen vorgeladen, als man in ferne rem Ansbleidungsfalle nach Kriegsgebrauch, und den bestehenden Gesetzen wider ihn ver fahren würde.']"
1436,1435,12,1435_deutschen_duero_hieseits_wolgebaute,"['deutschen', 'duero', 'hieseits', 'wolgebaute', 'emplar', 'wohlgerathenen', 'erinnertermassen', 'handelte', 'ueberländen', 'gerzeile']","['Stadt Prugg an der Leytha wegen, wird hiemit jedermann kund und zu wissen gemacht, dass nachdem die vorige zu Licitirung des Johann Kammermayrischen Hauses, sammt Ueberländen angeordnet gewe ste Tagsatzungen, wegen Mangel der Licitan ten fruchtlos abgeloffen sind, nun eine weitere Licitationstagsatzung auf den  April   an geordnet worden seye; Es werden demnach die jenige, die hierum zu licitiren gedenken, diesen Tag fruh um 9 Uhr auf dem Rathhaus zu er scheinen, und sich durch den Rathsdiener mel den zu lassen haben.', 'Er hat bey sich folgende Sorten: als Pomeranischen von Portugal, Aneiss, Bergamotten, Cedrat, Fenchel,  Jamaica,Ratasia, bittere Mandel, Pfersich,ꝛc|  Es seynd hier wieder angekommen die Gebrüdere Montani mit verschiedenen Blu men Zwibeln, wie folget: Narcissi Nobili von  Sorten.', 'Der Preis dieser Karte ist für die Herren Pränumeranten des gros sen deutschen Atlasses zu 36 Kreuzer, und für je den andern Liebhaber zu 1 Gulden Kaisergeld.']"
1437,1436,12,1436_bapt_johann_vorgekommen_fall,"['bapt', 'johann', 'vorgekommen', 'fall', 'er', 'da', 'dass', 'der', '', '']","['Johann Bapt.', 'Johann Bapt.', 'Johann Bapt.']"
1438,1437,11,1437_magdal_der__,"['magdal', 'der', '', '', '', '', '', '', '', '']","['Magdal.', 'Magdal.', 'Magdal.']"
1439,1438,11,1438_geliefert_september_versatzamt_septemb,"['geliefert', 'september', 'versatzamt', 'septemb', 'septem', 'septembris', 'favorita', '1ten', 'werk', 'sicher']","['Von dem   Versatzamt wird hiemit kund gemacht, dass die im Monat Septemb.', 'Das ganze Werk wird bis im September dieses Jahrs sicher ganz geliefert.', 'Das ganze Werk wird bis in September dieses Jahrs sicher ganz geliefert.']"
1440,1439,11,1439_heraldick_dorotheengasse_verlagsgewölbe_1136,"['heraldick', 'dorotheengasse', 'verlagsgewölbe', '1136', 'hörner', 'auslande', 'schulmeister', 'situationen', 'lieblingsdichters', 'wenners']","['Sie stellen zwölf der komischeften Situationen aus der so allgemein deltebten und gelesenen travestirten Aeneis unsers Lieblingsdichters  Blumau ers vor, und sind auf dem schönsten Schweiz papier, der Kalender aber auf dem weissesten und feinsten Schreibpapier gedruckt.', 'Diese Auflage ist zu haben in Wien in mei nem Verlagsgewölbe in der Dorotheengasse  1136; im Auslande und den   Provinzen aber bey folgenden  Verlegern: Agram, Hörner.', 'Diese Auflage ist zu haben in Wien in mei nem Verlagsgewölbe in der Dorotheengasse  1136; im Auslande und den   Provinzen aber bey folgenden  Verlegern: Agram, Hörner.']"
1441,1440,11,1440_oranien_anemoni_prinz_printz,"['oranien', 'anemoni', 'prinz', 'printz', 'von', 'der', '', '', '', '']","['Anemoni der Prinz von Oranien.', 'Anemoni der Prinz von Oranien.', 'Anemoni der Prinz von Oranien.']"
1442,1441,11,1441_matzen_weinzehende_anger_frunwaldischen,"['matzen', 'weinzehende', 'anger', 'frunwaldischen', 'duerstorf', 'vellm', 'grossprottes', 'prot', 'bergrechte', '1791te']","['Barten steinischen Herrschaft Ebreichsdorf am Mooss     wird hiemit bekannt gemacht: Es sey auf Anlangen des Franz Frunwaldischen Konkurs massevertretters,   Steinmassler, in die Amortisirung sämmtlicher sowohl auf der ganzen, als auf der Hälfte der in Ebreichsdorf liegenden Franz und Zezilia Frunwaldischen Kotzen und Weiss Gärberwalt haftenden Sätze, mit alleiniger AusnahAusnahme me jenes des Philipp Winter und Joseph Dojak ( indem ausser diesen beyden ungeachtet der gesche henen Vorladung bey der Masse keiner liquidiret worden ist) gewilliget worden.', 'Philipp Kinskischen Herr schaft Matzen und Anger wird hiemit bekannt gemacht: es werden den  Juli   die zur Herrschaft Matzen gehörigen Weinzehende zu Matzen, Grossprottes, Götzendorf und Spann berg, samt dem Bergrechte zu Matzen, Prot tes, Vellm und Spannberg, dann den  be sagten Monats die Weinzehende der Herrschaft Anger zu Ollerstorf und Mannerstorf, nicht minder das Bergrecht zu Ollerstorf mittels öf fentlicher Versteigerung für das gegenwärti ge 1791te Jahr mit Vorbehalt der obrigkeit lichen Ratifikazion in Bestand verlassen wer  Wer demnach von obbenannten Zehen den einen, entweder in Ganzen, oder theil weise nach den Rieden in Bestand zu nehmen gedenket, hat an den bestimmten Tagen früh um 8 Uhr in der Amtskanzley zu Matzen zu erscheinen.| Licit.', 'Philipp Kinskischen Herr schaft Matzen und Anger wird hiemit bekannt gemacht: es werden den  Juli   die zur Herrschaft Matzen gehörigen Weinzehende zu Matzen, Grossprottes, Götzendorf und Spann berg, samt dem Bergrechte zu Matzen, Prot tes, Vellm und Spannberg, dann den  be sagten Monats die Weinzehende der Herrschaft Anger zu Duerstorf und Mannerstorf, nicht minder das Bergrecht zu Duerstorf mittels öf fentlicher Versteigerung für das gegenwärti ge 1791te Jahr mit Vorbehalt der obrigkeit lichen Ratifikazion in Bestand verlassen wer  Wer demnach von obbenannten Zehen den einen, entweder in Ganzen, oder theil weise nach den Rieden in Bestand zu nehmen gedenket, hat an den bestimmten Tägen früh um 8 Uhr in der Amtskanzley zu Matzen zu erscheinen.| Licit.']"
1443,1442,11,1442_bathiau_montier_fille_eilfte,"['bathiau', 'montier', 'fille', 'eilfte', 'duras', 'tugall', 'mesdames', 'marquise', 'jnfantinn', 'stinn']","['1  20  — de Madame du Montier& de la Marquise ... sa Fille.', 'Jnfantinn von Por tugall, Donna Maria Francisca Dorothea die Trauer angezogen habe.', 'Die Frau Für stinn von Bathiau y befindet sich von ihrer Unpässlichkeit gänzlich wider hergestellet, und wird nächstens mit der Frau Grä finn von Windischgrätz, Jhrer Tochter, die Reise antretten, um Jhrer  Ho heit der Erzherzoginn Maria Christina zu folgen.']"
1444,1443,11,1443_livorno_december_october_auss,"['livorno', 'december', 'october', 'auss', 'november', 'september', 'aus', 'vom', 'dem', 'von']","['Aus Livorno von dem  December.', 'Aus Livorno von dem  December.', 'Aus Livorno von dem  December.']"
1445,1444,11,1444_ullesel_limet_wildgans_fahenisse,"['ullesel', 'limet', 'wildgans', 'fahenisse', 'eter', 'vonderlüheaufmulsow', 'bettinischer', 'vernysche', 'brätel', 'naxos']","['Fa milie, geniesen zu Fontainebleau einer voll kommenen Gesundheit.', 'Brätel brat, im Ullesel   hinterm Land , alt   Dem Sebast.', '15)  Peller contra de Pen de Limet& Consortes,appellat.']"
1446,1445,11,1445_satzposten_neckhanin_taal_sätze,"['satzposten', 'neckhanin', 'taal', 'sätze', 'cordula', 'mum', 'satz', 'mutter', 'frau', 'briefe']","['Satzposten.', 'Satzposten.', 'Mum Michael.|  Neckhanin Cordula.']"
1447,1446,11,1446_alleallezeit_weltberühmten_erbprinzen_cour,"['alleallezeit', 'weltberühmten', 'erbprinzen', 'cour', 'errichtete', 'unterhaltung', 'erlaubt', 'thaten', 'königl', 'eodem']","['Majestät belieben, nebst des Erbprinzen königl.', '2  Leben und Thaten des weltberühmten königl.', 'An diesem Tag wird alleallezeit zeit Cour gemacht, und der König, nebst der ganzen Königl.']"
1448,1447,11,1447_novemb_wien_beschehen_december,"['novemb', 'wien', 'beschehen', 'december', 'den', 'so', '', '', '', '']","['Wien den  Novemb.', 'Wien den  Novemb.', 'Wien den  Novemb.']"
1449,1448,11,1448_klostersauchfür_heyd_schneblin_elephantenor,"['klostersauchfür', 'heyd', 'schneblin', 'elephantenor', 'bernatitz', 'wirtshause', 'hamicka', 'aulietz', 'schellendorfs', 'geheimenraths']","['Die| Die Erleuchtung, welche vor dem Hotel Sr Excellenz, des Geheimenraths vom Con seil, auch Ritters vom hohen Elephantenor den, des  Thott, veranstaltet werden soll, wird ebenfalls ungemein prächtig seyn.', 'Nach verrichtetem Amte wurde zur Wahl getreten, und sie fiel auch zum all gemeinen Vergnügen auf einen der wür digsten Männer dieses Stiftes  Es ist der Hochwürdige und Hochgelehrte Herr Bohuslaw Johann Herwig gewe ster Generalprokurator des Ordens bey dem   Hofe zu Wien.', 'Fürsten Stiftern dieses Klostersauchfür alle damalen in der Schlacht mit HenricoIII gebliebene und jetzo in GOtt ruhende allda begrabenen feyerliche Seel Messen mit der Pro cession für die Abgestorbenen gehalten wor  Bey dieser Feyerlichkeit haben sich drey Pfarr Herren als   Petrus Aulietz von Hostau  Joseph Schmid von der Heyd und Adalbertus Hamicka von Bernatitz mit ih ren Predigen vortreflich hören lassen.| Jn dem Kürnerischen Buch Laden nächst der Schneider Herberg ist zu haben: Büssenden Ruf deren Buss und Creutz lie benden Seelen zu GOTT und seinen Hei ligen.|']"
1450,1449,11,1449_geboren_wegdirectoren_utautea_blad,"['geboren', 'wegdirectoren', 'utautea', 'blad', 'baslerischen', 'finaledimodena', 'schafschafschaftern', 'siö', 'adlershule', 'verlauverlauthe']","['Excellentz Herrn Sigmund Ru dolph Grafen von Wagensperg Dero würklich geheimen Raht Cammerern Oorist Erb Land Marschallen in Kärnten Lands Verwesern und Lands Verwaltern auch Ober WegDirectoren in Steyer   Commercii PræsesPraeses, auch Hauptmann und Vice Dom der Lands Fürstl.', 'Ritter des Gol denen Vlieses: ELISABETHA THERESIA, geboren den  October 1711. und ver sprochene Braut Ludovici Hertzogs von Orleans, geboren den  Augusti 1703.: CAROLUS, geboren den  December 1712. und ANNACHARLOTTA, geboren den  May 1714.', 'BotBotschaf schafschafschaftern| schaftern in der Schweitz nicht minder be ehret durch dero Leib Kutsche von Wihlen in dem Oesterreichischen abge holet durch dero Leib Bediente samt Stand Baslerischen Gesandschaft so in  Dragoner Haupt Leuten bestan den nacher Rheinfelden begleitet al dorten bey seiner Ankunft mit  Stuk Schüssen begrüsset unter Läutung aller Glocken bey schönster Paradirung da siger Kaiserl.']"
1451,1450,11,1450_rainerischer_hauerns_mattalay_litzlbauer,"['rainerischer', 'hauerns', 'mattalay', 'litzlbauer', 'bodman', 'brandeis', 'höcker', 'hausm', 'elster', 'batthyan']","['Josepha Fräule Gräfin von Brandeis Kais.', 'Dem Georg Mayr Bild Hauerns.', 'Mattalay Johann, Mayer David  Mayer Dominicus Nicolaus.']"
1452,1451,11,1451_guld_appellationsrath__,"['guld', 'appellationsrath', '', '', '', '', '', '', '', '']","['|  | Guld.', '| Guld.', '|  | Guld.']"
1453,1452,11,1452_gorodischen_kanm_nowogrodischen_petersbur,"['gorodischen', 'kanm', 'nowogrodischen', 'petersbur', 'grenier', 'marechalldevillars', 'dimburg', 'peinz', 'bellesnayische', 'reichenwalde']","['Hin ter diesen rangirte er eine neue Linie von dem Beloserischen, und Nische gorodischen Regiment, auf welche noch eine zweyte vom  Petersbur gischen, und Nowogrodischen Regiment folgte.', 'Es hat auch bereits das erste Husaren Regiment dieses Corpo welches den  die Maass bey Rüre mond passiret und mit gutem Vortheil seinen Marsch fortgesetzet welchem auch die Battaillons von Heister Los Rios und die Dragoner von dem Printzen de Ligne mit gleichen Vortheil folgen jedoch wird das Bellesnayische Regi ment einen Umweg nehmen müssen.', 'Die Grenadiers und Carabiniers ruckten voraus dahin ab, und die Armee folgte in  Colonnen nach, doch brache auch die sammentliche Reiterey eine gute Zeit vor der Jnfanterie auf, damit diese in denen zu passiren gehabten Defileen nicht aufgehalten werden möchte; es ware aber jetzt gedachte Armee kanm in dem neuen Lager angelanget, als die sichere Nachricht einlieffe, dass der Peinz Heinrich sich nicht nach Halbau gewendet, son dern bey Rotenburg die Neiss passiret, und allschon über Reichenwalde, und Lamen gerucket wäre, welche sehr forcirte Märsche in  Täg und Nächten erzwungen worden.']"
1454,1453,11,1453_gegenwärtigem_unddiegebührendegenugthuung_gesandschaftshause_contribuirt,"['gegenwärtigem', 'unddiegebührendegenugthuung', 'gesandschaftshause', 'contribuirt', 'widerfahrene', 'endschuldigungscom', 'petitio', 'respondirt', 'thungut', 'denkungs']","['Nach vielen Zu reden lies dieser Land Bohte sich endlich bewegen die  Activität dem Reichs Ta ge ja wol zu  restituiren jedoch unter keiner anderen Condition hiermit die Session fort  solviret werde; welches der Marschall auch alsbald that und den  bis auf den folgenden Tag ver legte.', 'Herr Residenz von Thungut sogleich davon nun der Obrigkeit nebst einem Endschuldigungscom pliment benachrichtiget worden, hat derselbe nicht verweilet, bey dem Reis Effendi diese dem Gesandschaftshause und seinem Caracter widerfahrene Beleidigung beschwersam an zubringen,unddiegebührendeGenugthuung und| und künftig mehrere Sicherheit für Sich und sämmtliche fremde Gesandschaften anbe gehren zu lassen.', 'Es cor respondirt mit den Generalstaaten über die Ange legenheiten der Republick, stellet sein Gutachten an dieselben, und formirt die sogenannten Petitio nen   Entwürfe desjenigen, was zum Bedürf fen und Nutzen des Staats contribuirt werden muss.']"
1455,1454,11,1454_holland_juny_überfahren_augusti,"['holland', 'juny', 'überfahren', 'augusti', 'letzte', 'july', 'woche', 'aus', 'auss', 'dieser']","['Aus Holland von dem  Juny.', 'Aus Holland von dem  Juny.', 'Aus Holland von dem  Juny.']"
1456,1455,11,1455_beer_leutgebens_gebens_bierinscher,"['beer', 'leutgebens', 'gebens', 'bierinscher', 'beerchnet', 'bier', 'dames', 'bourbon', 'leut', 'gläubiger']","[""Beer's Gläubiger."", ""Beer's Gläubiger."", ""Beer's Gläubiger.""]"
1457,1456,11,1456_farbencostüm_commancommandodo_hordt_böz,"['farbencostüm', 'commancommandodo', 'hordt', 'böz', 'wurfstabellen', 'dieordinari', 'staatsprognosticis', 'worstellung', 'generallieute', 'lentulus']","['Herber steinischen Pallast über, seynd nebst andern nutz lichen Büchern, folgende zu haben: Sacra Biblia Vet& Novi Testamenti  PragæPragae.', 'Hof Staats, die Continuation der alt und neuen Oesterreichischen Historie, mit denen hohen Wienerischen Kirchen Fest tägen, StaatsPrognosticis, Jnteresse Ducaten und WurfsTabellen, samt dem neuen Verzeichnuss, wie anjetzo dieordinari Posten, und Post wägen abgehen, und wie der anlangen; nebst einer kurz verfasten Be schreibung der höchst erfreulichen Ankunft, und prächtigsten Empfangs  Majestät FRAN CISCI  Römischen Kaisers, Königs zu Je rusa| rusalem, Gross Herzogen zu Toscana, Herzo gen zu Lothringen und Barr   in denen Nieder hungarischen Berg städten; wie auch von dem allerhöchsten Aufenthalt  Kaiserl.', 'Heute heben Jhre Regierend Römisch Kaiserlich und Catholische Majestäten samt Jhro Churfürstlichen Durchleucht zu Trier in der  Stephans Dom Kirchen wegen des gewöhnlichen Jahr Tags der anher im Jahr 1697. aus Hungarn von Böz gebracht wunderthätigen Bildnus unser lieben Frauen Vormit tags: und Jhre Majestät die verwittibte Kaiserin Eleonora Magda lena Theresia samt Dero Durchleuchtigsten Erz Herzoginnen Nach mittags dem jedesmaligen Gottesdienst Jhrer Hochwürden Titl.']"
1458,1457,11,1457_bachmayr_aehnl_jezinger_ssenkriege,"['bachmayr', 'aehnl', 'jezinger', 'ssenkriege', 'selig', 'ruth', 'kernische', 'geziemende', 'schein', 'allhiesiger']","['Risenfelsischen Amtskanz ley der Herrschaft Hainstetten    | werden nachbenannte seit etlich 30 Jahre, ohne von ihnen etwas gehört zu haben, abwesend daselbstige Unterthanssöhne und Töchter nämlich: Sebastian Walcheneder auf dem Haus n Aichhof Pfarr Amstetten, Ruth Gassen  37, Adam Semeleder auf dem Haus am mäsegg, Pfarr  Georgen, Ruth Krähof,  13, und dessen Schwester Katharina Se elederin eben allda gebürtig, allenfalls der selben etwa vorhandene eheleibliche Leibeserben, oder wer sonst an solche  quocunque modo,aut titulo was zu fodern haben möchte, dergestalt peremptorie citirt, dass sich dieselbe in dem hiemit anberamten Termin von 1 Jahr 6 Wochen und 3 Tagen behörig anmelden, und er foderlich legitimiren sollen, wo ansonst nach Verfliessung dessen niemand mehr angehört, sondern über deren weniges Vermögen mit den Präscriptionsabhandlungen rechtlicher Ordnung nach exofficio vorgegangen werden würde.', 'Solchemnach werden diejenige Partheyen, welche wegen von Paul Bachmayr, Bäcker meistern zu Penzing auf einen Schuld schein deDato  Junii 1739. sowol um nach und nach abgegebene Brod sorten an Franz Carl Widmayr zu fordern gehabten auf des Paul Bach mayr zeitliches Hinscheiden aber seinem Sohn obigen Franz Bachmayr, nebst übriger Verlas senschaft angediehene   cumsuacausa von dem untern  Julii 1741. auf die halbe Uber theurung des Widmayrischen den  Junii 1746. an Johann Köllinger, und Anna Maria dessen Ehe wirtin gegen Bezahlung deren Schulden verkauften Hauses in Rusten gegen ermeldeten Penzing ausgefertigten, laut der durch gedachten Franz Bachmayr allschon den  Augusti 1757. hierorts schriftlich beschehenen Anzeige in Verstoss gerahtenen dritten Satz brief, und vom obigen Schuld schein die Originalien etwann in Handen haben, von heut Dato längstens bis künftigen Decembris dies Jahrs bey dem Wienerischen Burger spitals grund buch also gewiss zu erscheinen, mentionirtten Schuld schein, und Satz auszug mitzubringen, sich zu legitimiren, und unter ei stens ihre Forderungen zu liquidiren, hiemit  sub primo secundo&tertioTermino dergestalten citiret, dass in nicht Erschei nungs fall obig verlorner Originalschuld schein und Satzauszug exofficio cassiret und darüberhin niemand mehr angehöret, sondern de nen Ausbleibenden das ewige Stillschweigen auf erleget, und obigen Franz Bachmayr, auf wei teres Anlangen an Statt des verlornen Satz aus zugs eine vidimirte Abschrift aus dem Grund und Satzbuch extradiret werden wurde.', 'Susanna Ker ninn vereheligt gewesten  in Wien selig hin terlassenen zweyen Kindern, jeden zum mütterlichen und respective ähnlischen Erbantheil     beysammen also     erblich an erstorben, so vermög letzthin gelegter Curatell rechnung wirklich in einer Summa auf     angewachsen  Nun verlautet, dass diese zwey Kernische Söyne bereits einer vierzig, dann der anderte etlich und drepssig Jahr abwe send, und unwissend seyn, der Susanna Kerninn aber in Wien ruckgelassene  Kinder( derer Mut ter selig Veiehelichungsniam eben nicht bekannt gar nicht auszuforschen pären, ob jemand noch bey Leben oder Too waren; Weshalben der Sa muel Keimel Schuhmachermeifter in Linz, dann dessen Bruder Maximiiian an uns das geziemende Anlangen gestellet, nachbeme diese Verlassen schaft gleichsam erbws zu betlachten wäre, ass ihnen solcher Betrag als nuchsten Anverwandten von darumen erfolget werden mochte, weil der Aehnl dieser erblosen Zerlassenschaft Tobias Kern selig ein zwepbändiger Bruder zu ihrer leiblichen Mutter gewesen seye, gleichwie nun aber bey solchen Umständen erforderlich seyn will, in sichere Erfahrenheit zu bringen, ob nicht etwa die leiblich Kernische Kinder und hinterlassene  Aehnl, benannt Franz und Thomas Kern, dann der Su sanna Keininn in Wien selig ihre hinterlassen haben sollende  Kinder in Leben seyn möchten.']"
1459,1458,11,1458_wallbey_garninison_schlupfwinkel_ununglaubliches,"['wallbey', 'garninison', 'schlupfwinkel', 'ununglaubliches', 'inzwischenhabeerbeiottmarsheimeincorpo', 'glaubliches', 'marullischen', 'ordnuna', 'cantonniren', 'wildniss']","['Dass all hoh und niedere Officiers von der Miliz des Cantons von Bern zusammen kommen müssen und wolle verlauten dass dieselbe von Neuem den Eyd der Treu ablegen: und nachdem ihre Truppen versamlen: sodan in verschiedenen Oertern sich lagern sollen.', 'Um sie bis in ihre letzten Schlupfwinkel zu verfolgen, haben die gegen sie kommandirten Truppen ununglaubliches glaubliches Ungemach ausstehen, Wege ein schlagen und Anhöhen erklettern müssen, wo zuvor noch kein Europäer den Fuss hingesetzt hatte; nahmentlich musste die letzte Kolonne, welche gegen sie anrückte, fünf Tage lang ohne Wasser marschiren, und sich nur mit den saftigen Pflanzen be helfen, die sie auf ihrem Wege in der Wildniss antraf.', 'truppen zur besatzung mit  mann Jnfanterie und darzu gehörigen ober Officiers einräumen und werden die gräntzen wie weit der wallbey dortigem thore von gedach ter anzahl truppen zu besetzen seyn wird vor gängige durch die Officiers von der stadt garninison angewiesen werden.']"
1460,1459,11,1459_bürdeln_klafter_moderiges_scheiter,"['bürdeln', 'klafter', 'moderiges', 'scheiter', 'deto', 'ausschuss', 'zugehörige', 'weidlingauer', 'moderiches', 'eichener']","['Von Burgerspital in Wien wird hiemit be fannt gemacht: es werden die dem Burgerspi tal zugehörige in Weidlingauer Forst liegende Brennhölzer, und zwar 13 1 4 Klafter buchene Scheiter, dann 5 1 2 Klaster deto Ausschuss, und 10 1 2 Klaster deto Bürdeln, dann 6 Klafter eichener Ausschuss, 4 1 4 Klafter deto Moderiches, und 1 Klafter deto Bürdeln, endlich 1 4 Klafter tännene Bürdeln gegen gleich baare Bezahlung öffentlich zum Verkauf fellge boten.', 'Von Burgerspital in Wien wird hiemit be kannt gemacht: es werden die dem Burgerspi tal zugehörige in Weidlingauer Forst liegende Brennhölzer, und zwar 13 1∫4 Klafter buchene Scheiter, dann 5 1∫2 Klafter deto Ausschuss, und 10 1∫2 Klafter deto Bürdeln, dann 6 Klafter eichener Ausschuss, 4 1∫4 Klafter deto Moderiches, und 1 Klafter deto Bürdeln, endlich 1∫4 Klafter tännene Bürdeln gegen gleich baare Bezahlung öffentlich zum Verkauf feilge boten.', 'Von Burgerspital in Wien wird hiemit bekannt gemacht: dass die demselben zugehörige in Kalkspur ger Wald liegende 124 2 4 Klafter thännene Schei ter, 3 4 deto Ausschuss, 5 1 4 Klafter deto mo deriges, und 2 2 4 Klafter deto Bürdeln, dann 7 Klafter eichene Scheiter, 2 4 deto moderiges, 3 4 Klafter deto Bürdeln, und 2 4 Klafter Ab lesbierbaum moderiges, öffentlich zum Verkauf feil geboten werden, und hiezu der  Oktober d  früh um 9 Uhr bestimmt worden.']"
1461,1460,11,1460_senatoren_hoftodtenwagen_erwehntemturin_seineequipages,"['senatoren', 'hoftodtenwagen', 'erwehntemturin', 'seineequipages', 'oedern', 'dieserqualität', 'decampis', 'eingefallenem', 'hochwohlgebohrnen', 'engerau']","['Der von TuTurinrin alhier angelangte Frantzösische MiniMinisterster Monsr.deCampis, der nun in eben dieserQualität von hier nach Wien ge het lasset von erwehntemTurin aus seineEquipages den geraden Weg nach dem letzteren Ort abgehen.', 'Hierauf verfügten sich die Land Boten un ter Anführung desselben in die Senatoren Stube allwo selbter Jhro Majestät dem Kö nig die Huldigungs Pflicht von Seiten de ren Land Boten Stube abstattete und wegen dieser bey glüklich eingefallenem Jahr Gedächtnüsse der Erwehlung  Ma jestät auf ihn gefallenen Wahl eine gute Deu tung machte.', 'Jnzwischen weilen er bey denen vornehmsten Musulmännern in hohen Ansehen ware welche ihn für einen grossen Stern Gelehrten und berühmten Arzt hielten würketen sie so viel aus dass man ihn nebst einem Geschenke von  Cronen über das Meer nach Constantino pel schicken möchte damit er sich einige Zeit daselbst aufhielte und dem Volk aus dem Gesicht käme; aber kaum ware er aus dem Hafen zu Smyrna heraus gefahren da er klärete er sich Christlich und erduldete dass man ihm in solcher Bekanntnuss den Kopf abschluge.| Meiland  Augusti.']"
